Hospital,Year,Quarter,State,Total_Revenue,Other_Operating_Revenue,Medicare_Revenue,Medicaid_Revenue,Self_Pay_Revenue,Commercial_Revenue,Other_Revenue
BHC Fairfax Behavioral Health - Everett,2022,1,Washington,7436558,0,1649200,4082400,8400,0,1696558
BHC Fairfax Behavioral Health - Monroe,2022,1,Washington,132608,0,47600,11200,0,0,73808
Rainier Springs,2022,1,Washington,14083358,347757,3019664,7649813,35396,0,3378485
Inland Northwest Behavioral Health,2022,1,Washington,12194943,2873,531375,1078000,34200,0,10551368
Wellfound Behavioral Health Hospital,2022,1,Washington,16587117,904,5884379,8679927,431562,0,1591249
South Sound Behavioral Hospital,2022,1,Washington,25259200,129174,5303305,14095720,119200,0,5740975
Swedish Health Services DBA Swedish Medical Cent,2022,2,Washington,1173842965,26205050,460552553,204070644,15527817,0,493691951
Swedish Health Services DBA Swedish Medical Cente,2022,2,Washington,471562656,8317036,267757526,55739245,1957021,0,146108864
Klickitat County Public Hospital District #1,2022,2,Washington,13370882,0,6618352,3515879,1180680,0,2055971
Virginia Mason Medical Center,2022,2,Washington,1178712375,27577648,388471994,48503234,12904247,429284657,299548243
Seattle Children's Hospital,2022,2,Washington,858115051,107445589,9359556,395110445,0,0,453645050
Newport Hospital & Health Services,2022,2,Washington,15033131,50019,7450862,3656619,188254,0,3737396
Lourdes Medical Center,2022,2,Washington,76159910,309823,32940457,14959930,2452592,0,25806931
Three Rivers Hospital,2022,2,Washington,5979486,47101,2105316,344861,434913,1699847,1394549
PeaceHealth St John Medical Center,2022,2,Washington,269514708,2329614,135744554,61609494,3976630,0,68184030
Harborview Medical Center,2022,2,Washington,0,0,0,0,0,0,0
St.Joseph Medical Center,2022,2,Washington,943074380,5795132,440111872,194776016,13445381,0,294741111
St. Elizabeth Hospital,2022,2,Washington,77501492,453485,32366466,13337501,1057837,0,30739688
Deaconess Hospital - MultiCare Health Systems,2022,2,Washington,529822569,700167,260993626,112305927,6676870,0,149846146
Olympic Medical Center,2022,2,Washington,126559930,2398173,73749060,19496491,0,0,33314379
RCCH Trios Health LLC,2022,2,Washington,153296255,427722,66525936,32467754,2725457,0,51577108
Shriners Hospitals for Children - Spokane,2022,2,Washington,4515028,4920,2976,2150739,100009,0,2261304
Columbia Basin Hospital,2022,2,Washington,691624,195583,373530,186111,131983,0,0
PHM Medical Center,2022,2,Washington,62919957,328173,20026610,19218129,2909745,0,20765473
PROVIDENCE ST MARY MEDICAL CENTER,2022,2,Washington,179065413,837405,92221044,29012244,2525053,0,55307072
Forks Community Hospital,2022,2,Washington,16371600,455010,6176295,4355102,484383,0,5355820
Public Hospital District 2 dba Willapa Harbor Hos,2022,2,Washington,6578078,15133,3405518,1356927,237338,0,1578295
YAKIMA VALLEY MEMORIAL,2022,2,Washington,441198517,5293522,215506287,107377330,0,0,118314900
Grays Harbor Community Hospital,2022,2,Washington,96815873,1682076,46138679,24412706,0,0,26264488
Samaritan Hospital,2022,2,Washington,97575430,1246378,34278773,29337769,2076649,0,31882239
Pacific County Public Healthcare Services Distric,2022,2,Washington,15233986,219453,9073782,3120093,319518,0,2720593
Good Samaritan Hospital,2022,2,Washington,623683999,1464317,272485386,132125165,11091845,0,207981603
Providence Regional Medical Center Everett,2022,2,Washington,813022688,7520875,397048227,151886371,12428332,0,251659758
Jefferson County Public Hospital District No 2,2022,2,Washington,79536948,1991454,54720978,6589873,749457,17476640,0
Skyline Health,2022,2,Washington,8872156,-48257,4012351,2120911,325083,0,2413811
EvergreenHealth Monroe,2022,2,Washington,34891991,446990,12159419,8104308,1630603,0,12997661
CASCADE VALLEY HOSPITAL,2022,2,Washington,65317406,19183,26376708,17168370,1005447,0,20766881
NORTH VALLEY HOSPITAL OCPHD#4,2022,2,Washington,12485304,215072,6087684,3668177,612989,0,2116454
Tri-State Memorial Hospital,2022,2,Washington,58902969,3253344,32020953,7079474,466784,0,19335758
EAST ADAMS RURAL HEALTHCARE,2022,2,Washington,2828179,112585,1329793,213888,111288,0,1173210
Othello Community Hospital,2022,2,Washington,10298867,60642,1696359,6038833,797678,0,1765997
Highline Medical Center,2022,2,Washington,296719466,3098369,126398952,78481970,6714216,0,85124328
University of Washington Medical Center,2022,2,Washington,0,0,0,0,0,0,0
Quincy Valley Medical Center,2022,2,Washington,4106912,9,1140922,1032334,277002,0,1656654
Overlake Hospital Medical Center,2022,2,Washington,538279463,5639978,239760439,42915491,8435288,0,247168245
St. Clare Hospital,2022,2,Washington,266973269,2332864,125319048,67958122,4852827,0,68843272
Island Hospital,2022,2,Washington,69798360,557221,28595693,7648630,0,0,33554037
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2022,2,Washington,8420061,175160,4292055,1474219,0,0,2653787
Swedish Edmonds,2022,2,Washington,247474589,921617,121612986,46310578,5430021,0,74121004
HOLY FAMILY HOSPITAL,2022,2,Washington,249681361,4517009,122139099,56854050,1879555,0,68808657
Kittitas Valley Healthcare,2022,2,Washington,52471805,631079,23233354,9714336,832689,0,18691426
Columbia County Public Hospital District No. 1,2022,2,Washington,0,0,0,0,0,0,0
St Michael Medical Center,2022,2,Washington,878893553,6213059,477583086,127136756,7098880,0,267074831
PeaceHealth St Joseph Medical Center,2022,2,Washington,530864210,1722582,295941237,95216929,5681605,0,134024439
Mid Valley Hospital,2022,2,Washington,21046679,76593,8059839,6849562,412474,0,5724804
Douglas Lincoln and Okanogan Public Hospital Di,2022,2,Washington,14151780,233780,5986430,3853956,194179,0,4117215
Public Hospital District No 1 of Mason County WA,2022,2,Washington,77533337,1424350,33301325,24388623,1470149,0,18373240
Whitman Hospital & Medical Clinics,2022,2,Washington,16785881,1415661,8013921,2729204,254811,0,5787945
Valley Medical Center,2022,2,Washington,654653604,16307135,275471156,136412443,0,0,242770005
Whidbey Island Public Hospital District,2022,2,Washington,61924734,222246,30800627,7158595,459907,0,23505605
St. Luke's Rehabilitation Institute,2022,2,Washington,22566325,2975029,10731041,4936029,155669,0,6743586
Providence St. Peter Hospital,2022,2,Washington,599229264,1581828,337003586,92873150,6692747,0,162659781
Kadlec Regional Medical Center,2022,2,Washington,597625801,6617293,264518258,122964375,11096148,0,199047020
Sacred Heart Medical Center,2022,2,Washington,817950890,13911999,337662509,229089633,5493727,0,245705021
EvergreenHealth Kirkland / King Country Public Ho,2022,2,Washington,558655843,12073252,234785957,51055626,0,0,272814260
Lake Chelan Health,2022,2,Washington,6631972,43378,1952238,2082704,296580,1283395,1017055
Confluence Health: Central Washington Hospital,2022,2,Washington,355823401,2465807,197238702,60278668,0,0,98306031
PeaceHealth Southwest Medical Center,2022,2,Washington,685381678,2349125,370248566,119574394,14616970,0,180941748
Public Hospital District #1-A of Whitman County,2022,2,Washington,38893498,592331,14616538,5391613,453015,0,18432332
Arbor Health,2022,2,Washington,12760669,249769,6669114,3155212,317780,0,2618563
Mary Bridge Children's Hospital,2022,2,Washington,252930758,3927753,121875,141550723,1730234,0,109527926
Tacoma General / Allenmore,2022,2,Washington,1028271424,2397546,425458484,242171729,20229734,0,340411477
Valley Hospital and Medical Center,2022,2,Washington,191180128,247432,87371864,40599563,3188401,0,60020300
Auburn Medical Center,2022,2,Washington,222045185,165894,91119241,65484383,5917850,0,59523711
Grays Harbor Count,2022,2,Washington,22333709,3073975,8924516,6379323,810436,0,6219434
Providence Centralia Hospital,2022,2,Washington,260617959,3083469,139431147,52609948,2870572,0,65706292
MOUNT CARMEL HOSPITAL,2022,2,Washington,29321712,1089377,14533571,6605236,301187,0,7881718
PROVIDENCE ST JOSEPH HOSPITAL,2022,2,Washington,10001474,532916,5540774,2601228,122471,0,1737001
Snoqualmie Valley Hospital,2022,2,Washington,20103799,427528,12718253,1428997,44161,5778133,134255
Capital Medical Center,2022,2,Washington,167312646,2459700,82879461,29974887,2747006,0,51711292
Astria Sunnyside Hospital,2022,2,Washington,72791538,112327,28950346,24238850,3400968,0,16201374
ASTRIA TOPPENISH HOSPITAL,2022,2,Washington,49428547,76584,13084416,20254134,3264627,10769573,2055797
St. Francis Hospital,2022,2,Washington,427139079,2533286,178055090,98832663,13557303,0,136694023
Fred Hutchinson Cancer Center,2022,2,Washington,524299484,259406355,223191859,50998622,0,0,250109003
Confluence Health: Wenatchee Valley Hospital,2022,2,Washington,156871706,1444830,68078670,30454313,0,0,58338723
PeaceHealth United General Medical Center,2022,2,Washington,48266525,-76461,23827869,10107368,809523,0,13521765
SKAGIT REGIONAL HEALTH,2022,2,Washington,378046158,6657535,191521545,69370747,5515871,0,111637995
Legacy Salmon Creek Medical Center,2022,2,Washington,229129387,6793422,98363910,48899483,4303863,0,77562131
St. Anthony Hospital,2022,2,Washington,302575075,3945165,160837971,43745155,3603964,0,94387985
Swedish Issaquah,2022,2,Washington,227029949,2143687,81465482,26495327,2642863,0,116426277
PeaceHealth Peace Island Medical Center,2022,2,Washington,11423394,-37602,6354641,1474283,317540,0,3276930
MultiCare Covington Medical Center,2022,2,Washington,97988332,47775,27330731,27225192,3435755,0,39996654
BHC Fairfax Hospital Inc,2022,2,Washington,35863074,70458,8586675,19017075,126950,0,8132374
Lourdes Counseling Center,2022,2,Washington,8135645,3092719,2186462,3769384,22957,0,2156842
Navos,2022,2,Washington,22037800,28197,3937295,13847262,0,0,4253243
BHC Fairfax Behavioral Health - Everett,2022,2,Washington,5270245,0,1436400,2198000,137200,0,1498645
BHC Fairfax Behavioral Health - Monroe,2022,2,Washington,961270,0,100800,425600,16800,0,418070
Inland Northwest Behavioral Health,2022,2,Washington,11469324,6209,1268150,522400,14100,0,9664674
Wellfound Behavioral Health Hospital,2022,2,Washington,20920994,29814,6885964,10727229,712055,0,2595746
South Sound Behavioral Hospital,2022,2,Washington,18969790,31681,3760485,11409070,80835,0,3719400
Swedish Health Services DBA Swedish Medical Cent,2022,3,Washington,1160828940,27422300,458966613,198749049,13607428,472676296,16829554
Swedish Health Services DBA Swedish Medical Cente,2022,3,Washington,433411649,1306033,243963039,57766581,3413434,117149582,11119013
Klickitat County Public Hospital District #1,2022,3,Washington,13016872,0,5905934,3586365,432727,2126498,965348
Virginia Mason Medical Center,2022,3,Washington,770058165,38001652,311664258,58813980,11111993,379192691,9275243
Seattle Children's Hospital,2022,3,Washington,899955040,100469653,8192629,443400295,0,0,448362116
Newport Hospital & Health Services,2022,3,Washington,15527159,72357,7900941,3041662,212701,3471982,899873
Lourdes Medical Center,2022,3,Washington,72517773,265615,30877098,13441293,2393760,23193430,2612192
Three Rivers Hospital,2022,3,Washington,5700259,829555,1912244,1478850,535387,1773778,0
PeaceHealth St John Medical Center,2022,3,Washington,302854956,2358734,155999260,71130982,4589465,58060945,13074304
Harborview Medical Center,2022,3,Washington,856921632,25501464,266806793,275052649,0,271654724,43407466
St.Joseph Medical Center,2022,3,Washington,1009100728,18479886,478516634,210965597,13638211,266031506,39948780
St. Elizabeth Hospital,2022,3,Washington,78427266,919055,31715983,13722469,1235733,29329047,2424034
Deaconess Hospital - MultiCare Health Systems,2022,3,Washington,508543544,785075,249040134,104750417,6995034,113940593,33817366
Olympic Medical Center,2022,3,Washington,0,0,0,0,0,0,0
RCCH Trios Health LLC,2022,3,Washington,149063503,627486,62720973,28906678,3738536,0,53697316
Shriners Hospitals for Children - Spokane,2022,3,Washington,14045799,24171,8137,6420061,396607,6908658,312336
Columbia Basin Hospital,2022,3,Washington,779835,35842,331475,356655,91705,0,0
PHM Medical Center,2022,3,Washington,66067617,198208,20619367,20798139,3022767,19143986,2483358
PROVIDENCE ST MARY MEDICAL CENTER,2022,3,Washington,179387011,1192840,94629223,31042459,2784555,39843028,11087746
Forks Community Hospital,2022,3,Washington,0,0,0,0,0,0,0
Public Hospital District 2 dba Willapa Harbor Hos,2022,3,Washington,10930556,67760,5528264,2280211,308523,2718512,95046
YAKIMA VALLEY MEMORIAL,2022,3,Washington,432500615,4528977,203479170,111912255,7988991,104081999,5038200
Grays Harbor Community Hospital,2022,3,Washington,101445415,1389844,49700817,24561982,0,0,27182616
Pacific County Public Healthcare Services Distric,2022,3,Washington,4946661,11910,3057419,855324,152678,0,881240
Good Samaritan Hospital,2022,3,Washington,629713385,1195864,271071378,141295665,12525266,119347822,85473254
Providence Regional Medical Center Everett,2022,3,Washington,735541932,6347860,356123191,146657036,9846264,195506978,27408463
Jefferson County Public Hospital District No 2,2022,3,Washington,75269815,2232094,49223707,8809311,1044879,16191918,0
Skyline Health,2022,3,Washington,12872633,190098,4353707,2208610,206807,3051904,3051605
EvergreenHealth Monroe,2022,3,Washington,31949382,398601,10093639,6337698,1649735,8956088,4912222
CASCADE VALLEY HOSPITAL,2022,3,Washington,69163519,3267,29937734,16786187,782773,18157007,3499818
NORTH VALLEY HOSPITAL OCPHD#4,2022,3,Washington,12754163,213409,5728767,3780005,461527,2604514,179350
Tri-State Memorial Hospital,2022,3,Washington,58172297,7727838,33962085,7030755,492825,1784810,14901822
Othello Community Hospital,2022,3,Washington,10724852,219206,1739733,5831224,674879,1567452,911564
Highline Medical Center,2022,3,Washington,299288342,3136948,130108265,80063812,8473417,72770563,7872285
University of Washington Medical Center,2022,3,Washington,1351634575,55819153,523498530,204462079,0,553834646,69839320
Quincy Valley Medical Center,2022,3,Washington,4573200,3276,1113513,798122,377580,1635572,648413
Overlake Hospital Medical Center,2022,3,Washington,558339198,2911189,249472749,43106440,8004944,0,257755065
St. Clare Hospital,2022,3,Washington,277998526,4063810,129106732,68911544,5964051,50313668,23702531
Island Hospital,2022,3,Washington,69584266,584929,29751234,7044066,0,0,32788966
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2022,3,Washington,8535780,89321,4340195,1576577,0,0,2619008
Swedish Edmonds,2022,3,Washington,252288397,1480565,119589534,47813832,4894210,70169374,9821447
HOLY FAMILY HOSPITAL,2022,3,Washington,247971303,2691989,122708880,53362031,2610781,58719559,10570052
Kittitas Valley Healthcare,2022,3,Washington,35995166,518438,15715207,6134807,717765,12040643,1386744
Columbia County Public Hospital District No. 1,2022,3,Washington,0,0,0,0,0,0,0
St Michael Medical Center,2022,3,Washington,899230259,19426387,496171368,119952976,10160318,193676617,79268980
PeaceHealth St Joseph Medical Center,2022,3,Washington,593912435,2527790,334327442,97248301,10747794,129701702,21887196
Mid Valley Hospital,2022,3,Washington,21101752,153923,7668275,6970624,627727,5111072,724054
Douglas Lincoln and Okanogan Public Hospital Di,2022,3,Washington,0,0,0,0,0,0,0
Public Hospital District No 1 of Mason County WA,2022,3,Washington,79646249,1291169,37667998,22008351,1420955,15602742,2946203
Whitman Hospital & Medical Clinics,2022,3,Washington,11416191,771248,5646784,1801933,126660,0,3840814
Valley Medical Center,2022,3,Washington,661107435,25816603,289403567,133900298,0,0,237803570
St. Luke's Rehabilitation Institute,2022,3,Washington,15774815,1981664,6758910,4112678,228787,4052179,622261
Providence St. Peter Hospital,2022,3,Washington,590088074,2569484,335400553,87505940,9120468,125821930,32239183
Kadlec Regional Medical Center,2022,3,Washington,597636182,6856515,264665381,126161566,13663190,176968287,16177758
Sacred Heart Medical Center,2022,3,Washington,791383826,13290788,313899337,212273900,8718945,219598762,36892882
EvergreenHealth Kirkland / King Country Public Ho,2022,3,Washington,558416194,9645966,251371839,55602200,5882254,214963329,30596572
Lake Chelan Health,2022,3,Washington,11924145,61952,3405220,3349018,409237,4571028,189642
Confluence Health: Central Washington Hospital,2022,3,Washington,355433660,2561083,193585724,60708779,0,0,101139157
PeaceHealth Southwest Medical Center,2022,3,Washington,774155704,2465646,413600956,142232881,16051006,158013543,44257318
Public Hospital District #1-A of Whitman County,2022,3,Washington,44474439,491921,17024474,5901261,757247,0,20791457
Arbor Health,2022,3,Washington,8727792,202410,4462829,1765064,223778,2228122,47999
Mary Bridge Children's Hospital,2022,3,Washington,254112488,3131509,145447,139782204,1488849,97027383,15668605
Tacoma General / Allenmore,2022,3,Washington,1041466863,2301693,434471290,254434804,17394533,279052447,56113789
Valley Hospital and Medical Center,2022,3,Washington,190989234,226154,91882813,38779782,3808225,45229930,11288484
Auburn Medical Center,2022,3,Washington,227685469,290641,95204676,67640700,6210315,34605523,24024255
Grays Harbor Count,2022,3,Washington,23173123,3862553,9458997,6221484,1088220,5578217,826205
Providence Centralia Hospital,2022,3,Washington,252510423,1458725,138850250,48679043,2761043,49700823,12519264
MOUNT CARMEL HOSPITAL,2022,3,Washington,31327983,189219,15297027,7640331,336094,6216301,1838230
PROVIDENCE ST JOSEPH HOSPITAL,2022,3,Washington,10541066,52176,5856702,2441102,187997,1597797,457468
Snoqualmie Valley Hospital,2022,3,Washington,18344243,446119,11605107,1303925,40297,5272409,122505
Capital Medical Center,2022,3,Washington,176257283,787563,86216358,35283671,2535185,45017005,7205064
Astria Sunnyside Hospital,2022,3,Washington,70132248,120281,29898586,22022002,3125446,11628841,3457373
ASTRIA TOPPENISH HOSPITAL,2022,3,Washington,51556422,2531389,14034766,20286753,3204801,10878867,3151235
St. Francis Hospital,2022,3,Washington,437413526,6402835,184196553,97407525,9699342,129598813,16511293
Fred Hutchinson Cancer Center,2022,3,Washington,538007231,179682883,231901345,56443524,3778058,236073800,9810504
Confluence Health: Wenatchee Valley Hospital,2022,3,Washington,152499043,2040920,66145251,29451928,0,0,56901864
PeaceHealth United General Medical Center,2022,3,Washington,51580052,162395,27498101,10386286,1335293,9331500,3028872
SKAGIT REGIONAL HEALTH,2022,3,Washington,383082951,8269986,198366344,65917802,5973855,90601197,22223753
Legacy Salmon Creek Medical Center,2022,3,Washington,359583803,11199471,159848273,71861546,9932093,42238795,75703096
St. Anthony Hospital,2022,3,Washington,324003913,5062647,170506913,48340169,4950748,82815156,17390927
Swedish Issaquah,2022,3,Washington,242401876,1734516,91854520,29163402,5214313,110383174,5786467
PeaceHealth Peace Island Medical Center,2022,3,Washington,13456327,6029,7830453,1588141,322189,3336154,379390
MultiCare Covington Medical Center,2022,3,Washington,98536184,49513,28036156,27559559,3557988,35812664,3569817
CHI Franciscan Rehabilitation Hospital,2022,3,Washington,14597530,0,10021443,2092772,45332,2437983,0
BHC Fairfax Hospital Inc,2022,3,Washington,29371307,31221,8046175,14195600,31150,0,7098382
Lourdes Counseling Center,2022,3,Washington,8251763,3794404,2046010,4201479,38715,1745999,219560
Navos,2022,3,Washington,22211534,7350,1848994,16581015,0,0,3781525
BHC Fairfax Behavioral Health - Everett,2022,3,Washington,6919534,0,1691200,3270400,0,0,1957934
BHC Fairfax Behavioral Health - Monroe,2022,3,Washington,4359480,0,1369200,1864800,95200,0,1030280
Smokey Point Behavioral Hospital,2022,3,Washington,8648550,206522,796950,4987500,2800,2565370,295930
Inland Northwest Behavioral Health,2022,3,Washington,14119037,10344,1539700,658000,13325,954900,10953112
Wellfound Behavioral Health Hospital,2022,3,Washington,0,0,0,0,0,0,0
South Sound Behavioral Hospital,2022,3,Washington,27954575,172783,4747965,18090970,143615,4061130,910895
Swedish Health Services DBA Swedish Medical Cent,2022,4,Washington,1183603953,39985196,442398280,221222004,14817771,484104243,21061655
Swedish Health Services DBA Swedish Medical Cente,2022,4,Washington,458603025,5091794,248822762,55675863,4983386,139014665,10106349
Klickitat County Public Hospital District #1,2022,4,Washington,9232774,0,4243690,2578608,264436,1226752,919288
Virginia Mason Medical Center,2022,4,Washington,795242268,36260311,318337110,57751896,9765275,400924501,8463486
Seattle Children's Hospital,2022,4,Washington,924558884,97091548,7376184,466238859,0,0,450943841
Newport Hospital & Health Services,2022,4,Washington,15974005,2534989,7965457,3648931,146133,3047446,1166038
Lourdes Medical Center,2022,4,Washington,72320876,307850,31747035,12553669,2900207,21629739,3490226
Three Rivers Hospital,2022,4,Washington,5539096,-504333,1812073,1539412,349790,1837821,0
PeaceHealth St John Medical Center,2022,4,Washington,308545370,1685957,153519490,75921222,5153970,58944695,15005993
Harborview Medical Center,2022,4,Washington,835363000,27086598,263157730,280421636,0,254547226,37236408
St.Joseph Medical Center,2022,4,Washington,976716886,8969784,452917507,209330911,14218190,265882213,34368065
St. Elizabeth Hospital,2022,4,Washington,79144564,677210,33393694,12384543,2563618,28085891,2716818
Deaconess Hospital - MultiCare Health Systems,2022,4,Washington,505916504,5618691,255156807,101848091,5893001,109635575,33383030
Olympic Medical Center,2022,4,Washington,42681891,510386,25287985,6254580,423452,7405894,3309980
RCCH Trios Health LLC,2022,4,Washington,153625685,585400,67053501,79287048,3146691,0,4138445
Shriners Hospitals for Children - Spokane,2022,4,Washington,0,0,0,0,0,0,0
Columbia Basin Hospital,2022,4,Washington,683551,8352,512365,140829,30357,0,0
PHM Medical Center,2022,4,Washington,70632764,52867,22270683,22104162,2129940,21218782,2909197
PROVIDENCE ST MARY MEDICAL CENTER,2022,4,Washington,175286709,1019165,91801888,28109474,2985395,40894224,11495728
Forks Community Hospital,2022,4,Washington,16119804,840675,5962354,4083794,473996,5090816,508844
Public Hospital District 2 dba Willapa Harbor Hos,2022,4,Washington,11756648,199381,5884051,2515490,368732,2930729,57646
YAKIMA VALLEY MEMORIAL,2022,4,Washington,413593803,10425968,195082325,104047969,9697623,100043834,4722052
Grays Harbor Community Hospital,2022,4,Washington,103659799,1997512,49756228,26368600,0,0,27534971
Samaritan Hospital,2022,4,Washington,104765087,1474874,36460587,31786009,1840942,0,34677549
Pacific County Public Healthcare Services Distric,2022,4,Washington,16132750,125198,9374956,3142188,338773,2512453,764380
Good Samaritan Hospital,2022,4,Washington,629578732,7598774,268473145,140837214,13889368,115879474,90499531
Providence Regional Medical Center Everett,2022,4,Washington,762947384,3694434,378442438,146505118,15809259,199690668,22499901
Jefferson County Public Hospital District No 2,2022,4,Washington,80372943,1685587,53012753,8935147,976164,17448879,0
Skyline Health,2022,4,Washington,9472645,176500,4340857,2036324,274462,2821002,0
EvergreenHealth Monroe,2022,4,Washington,0,0,0,0,0,0,0
CASCADE VALLEY HOSPITAL,2022,4,Washington,73755577,30541,31223206,17412080,1708214,19965143,3446934
NORTH VALLEY HOSPITAL OCPHD#4,2022,4,Washington,12692570,236972,5855253,4028123,379903,2240342,188949
Tri-State Memorial Hospital,2022,4,Washington,61377984,878190,35879030,8133983,549667,1617665,15197639
Othello Community Hospital,2022,4,Washington,10634025,26098,1733363,6044155,834474,1631788,390245
Highline Medical Center,2022,4,Washington,276260735,3514200,116554136,71145310,11447919,69785769,7327601
University of Washington Medical Center,2022,4,Washington,1379552355,59546014,529742735,224887272,0,554883708,70038640
Quincy Valley Medical Center,2022,4,Washington,5515487,2469,1670601,1465679,210973,1592107,576127
Overlake Hospital Medical Center,2022,4,Washington,564955160,6866933,245260155,42393098,11449696,0,265852211
St. Clare Hospital,2022,4,Washington,188098175,1737025,89302698,49171093,4162574,33409035,12052775
Island Hospital,2022,4,Washington,71868168,576335,29947549,7510992,0,0,34409627
LINCOLN COUNTY HOSPITAL DISTRICT # 3,2022,4,Washington,6078721,212754,3256515,963234,0,0,1858972
Swedish Edmonds,2022,4,Washington,259947663,3642325,125105438,48027931,7806092,72263398,6744804
HOLY FAMILY HOSPITAL,2022,4,Washington,252918300,1865484,122203824,54688672,2496483,63720526,9808795
Kittitas Valley Healthcare,2022,4,Washington,56696351,609534,25202097,9808954,1002225,18686660,1996415
Columbia County Public Hospital District No. 1,2022,4,Washington,3673285,60867,2091826,587777,69860,923822,0
St Michael Medical Center,2022,4,Washington,855473954,7867229,481217775,118535608,9900300,169839537,75980734
PeaceHealth St Joseph Medical Center,2022,4,Washington,617149575,1670944,348734034,109345788,7432558,134162826,17474369
Mid Valley Hospital,2022,4,Washington,21865119,113288,8997121,6396687,796185,4984664,690462
Douglas Lincoln and Okanogan Public Hospital Di,2022,4,Washington,0,0,0,0,0,0,0
Public Hospital District No 1 of Mason County WA,2022,4,Washington,75429471,1052956,35756598,20453450,1431389,14750118,3037916
Whitman Hospital & Medical Clinics,2022,4,Washington,0,0,0,0,0,0,0
Valley Medical Center,2022,4,Washington,686256590,24712016,294135325,139230637,0,0,252890628
Providence St. Peter Hospital,2022,4,Washington,600526491,2492885,338818805,97985047,4667708,130290628,28764303
Kadlec Regional Medical Center,2022,4,Washington,595080376,10415366,264548457,122420202,14210430,175156995,18744292
Sacred Heart Medical Center,2022,4,Washington,815876533,11985497,319313309,227307244,9789701,220769616,38696663
EvergreenHealth Kirkland / King Country Public Ho,2022,4,Washington,567468825,10501311,264985310,50738513,8389398,242558772,796832
Lake Chelan Health,2022,4,Washington,10524777,338182,3112399,2811979,298918,4133432,168049
Ferry County Memorial Hospital,2022,4,Washington,0,0,0,0,0,0,0
Confluence Health: Central Washington Hospital,2022,4,Washington,349390641,14160996,187994154,59910373,0,0,101486114
PeaceHealth Southwest Medical Center,2022,4,Washington,812048346,2079446,438098821,146136259,17276151,178531960,32005155
Public Hospital District #1-A of Whitman County,2022,4,Washington,55483248,439046,16586970,5864663,631908,24063034,8336673
Arbor Health,2022,4,Washington,13028714,1349635,6965905,2686720,252332,2964063,159694
Mary Bridge Children's Hospital,2022,4,Washington,270370913,4327663,125046,150637585,1229841,103571509,14806932
Tacoma General / Allenmore,2022,4,Washington,1094626496,22616084,420947541,271853806,20932444,325514880,55377825
Valley Hospital and Medical Center,2022,4,Washington,185895186,2217731,83553230,38010720,3091480,50161197,11078559
Auburn Medical Center,2022,4,Washington,231182367,3984660,90061821,68919753,6491741,40584907,25124145
Grays Harbor Count,2022,4,Washington,35210708,5055172,13413133,9928245,1277917,9164851,1426562
Providence Centralia Hospital,2022,4,Washington,260899250,1351929,148213268,47620625,2961700,50017924,12085733
MOUNT CARMEL HOSPITAL,2022,4,Washington,30797481,112338,14821671,7162518,251776,6357470,2204046
PROVIDENCE ST JOSEPH HOSPITAL,2022,4,Washington,9869766,-164731,5260999,2496290,138644,1552688,421145
Snoqualmie Valley Hospital,2022,4,Washington,15810479,362979,10002174,1123823,34730,4544168,105584
Capital Medical Center,2022,4,Washington,189173189,3611608,88976777,38283717,2505141,50771575,8635979
Astria Sunnyside Hospital,2022,4,Washington,70407301,298768,26035096,24960355,3621120,12963366,2827364
ASTRIA TOPPENISH HOSPITAL,2022,4,Washington,56424091,1001234,15824880,22539229,2694103,12815836,2550043
St. Francis Hospital,2022,4,Washington,441572327,3496857,190905783,95262531,13995995,126095167,15312851
Fred Hutchinson Cancer Center,2022,4,Washington,536594871,690858069,227478155,55797065,4347178,242425466,6547007
Confluence Health: Wenatchee Valley Hospital,2022,4,Washington,162054344,1543779,68723342,30958957,0,0,62372045
PeaceHealth United General Medical Center,2022,4,Washington,53618759,57036,28950531,11109377,1138040,9754397,2666414
SKAGIT REGIONAL HEALTH,2022,4,Washington,395647797,9807634,200848123,71167597,5028200,95188245,23415632
Legacy Salmon Creek Medical Center,2022,4,Washington,0,0,0,0,0,0,0
St. Anthony Hospital,2022,4,Washington,324413909,4236560,172344794,45720248,4820672,85143045,16385150
Swedish Issaquah,2022,4,Washington,269303924,4937210,101511470,28900682,2988724,129851559,6051489
PeaceHealth Peace Island Medical Center,2022,4,Washington,12036677,48178,7406557,1543979,156987,2642850,286304
MultiCare Covington Medical Center,2022,4,Washington,95949178,1410783,25958857,27330362,3307912,36137472,3214575
CHI Franciscan Rehabilitation Hospital,2022,4,Washington,14069159,0,8588342,2448067,125910,2906840,0
BHC Fairfax Hospital Inc,2022,4,Washington,31689499,5961,8758275,17305775,42000,0,5583449
Lourdes Counseling Center,2022,4,Washington,8236406,2938114,3003676,3655907,95237,963487,518099
Navos,2022,4,Washington,22393155,-1856,6935828,11104154,0,0,4353173
BHC Fairfax Behavioral Health - Everett,2022,4,Washington,7524410,0,1380400,4062800,5600,0,2075610
BHC Fairfax Behavioral Health - Monroe,2022,4,Washington,5548762,0,1643600,2550800,-5600,0,1359962
Inland Northwest Behavioral Health,2022,4,Washington,15506161,7924,1144725,607200,25975,981450,12746811
Wellfound Behavioral Health Hospital,2022,4,Washington,0,0,0,0,0,0,0
